"","title","movieInfo","point","review"
"28","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","넘 재밋어요. 액션씬 멋저요. "
"29","승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","10","100번을 봐도 질리지 않을 영화이다..정말 너무 재밌었다!! "
"30","더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","2","그녀는 이뻤다 다만 그뿐이었다 "
"31","엘리시움","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=56247&target=after","8","021년... 택배업이나 배달업, 그밖에 하청업체 소속의 여러 노동자가 죽어나가는 사건이 끊이지 않고 발생하는 지금 이 영화를 다시 보니 씁쓸함이 배가 되네요. 이 영화는 해피엔딩 이지만 우리네 삶도 그렇게 될까요?! 기업과 정치인들이 바뀌지 않는 한 당신도 언젠가는 이 영화 주인공인 맥스처럼 될 수 있습니다... "
"32","승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","8",""
"33","김씨 표류기","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=44910&target=after","10",""
"34","죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183854&target=after","10","너무 신선하고 재밌는 영화. 병맛 "
"35","8월의 크리스마스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=18817&target=after","8","신파로 나갈 수 있는 소재이지만, 절제된 연출과 담백한 분위기로 슬픈 감정을 최대한으로 끌어낸다. 두 주연 배우의 자연스러운 연기는 처음부터 끝까지 몰입하도록 만든다. "
"36","더 히든","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194723&target=after","8","타임루프가 관련된 신선한 "
"37","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","아진짜 극장에서 무조건 봐야댐젠이츠 이노스케 탄지로 3명의 티키타카 재밌고 퀄리티 미쳐쑴....스토리도 물흐르듯 흘러가고 물의호흡!!!(?) 끄아ㅏ아악 재미써 2번봐 3번봐. 근데 슬퍼서 여러번 못보겠는데 보고싶고... "
"38","소울","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184517&target=after","10","인생을 느끼는 순간이었네요. 감사하고 행복한 순간을 일깨워주는 시간이 되었어요 "
